GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sinapipro-api,com.sinapipro.api.jobcosting.api,JobCostingController.CostCodeResponse,32,0,0,0,2,0,2,0,2,0
sinapipro-api,com.sinapipro.api.jobcosting.api,JobCostingController.CreateTransactionRequest,18,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.jobcosting.api,JobCostingController.TransactionResponse,32,0,0,0,2,0,2,0,2,0
sinapipro-api,com.sinapipro.api.rfi.domain,Rfi,114,0,10,0,32,0,21,0,16,0
sinapipro-api,com.sinapipro.api.rfi.domain,RfiStatus,21,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.security.application,JwtTokenService,184,0,8,0,45,0,12,0,8,0
sinapipro-api,com.sinapipro.api.notification.api,NotificationController.UnreadCount,6,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.notification.api,NotificationController.NotificationResponse,52,0,0,0,3,0,2,0,2,0
sinapipro-api,com.sinapipro.api.notification.api,NotificationController,37,0,0,0,6,0,5,0,5,0
sinapipro-api,com.sinapipro.api.submittal.api,SubmittalController.CreateRequest,21,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.submittal.api,SubmittalController,150,0,2,0,13,0,11,0,10,0
sinapipro-api,com.sinapipro.api.submittal.api,SubmittalController.ReviewRequest,6,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.submittal.api,SubmittalController.SubmittalResponse,62,0,0,0,4,0,2,0,2,0
sinapipro-api,com.sinapipro.api.contract.domain,ChangeOrderStatus,0,21,0,0,0,2,0,1,0,1
sinapipro-api,com.sinapipro.api.contract.domain,Contract,57,80,5,3,13,24,12,9,9,8
sinapipro-api,com.sinapipro.api.contract.domain,ChangeOrder,35,46,2,2,8,17,10,5,8,5
sinapipro-api,com.sinapipro.api.contract.domain,ContractStatus,0,27,0,0,0,2,0,1,0,1
sinapipro-api,com.sinapipro.api.measurement.domain,MeasurementItem,19,33,0,0,6,10,6,4,6,4
sinapipro-api,com.sinapipro.api.measurement.domain,Measurement,35,85,3,3,7,23,7,11,5,10
sinapipro-api,com.sinapipro.api.measurement.domain,MeasurementStatus,0,27,0,0,0,2,0,1,0,1
sinapipro-api,com.sinapipro.api.shared.error,ApiExceptionHandler,163,0,7,0,37,0,14,0,10,0
sinapipro-api,com.sinapipro.api.shared.error,DomainNotFoundException,0,4,0,0,0,2,0,1,0,1
sinapipro-api,com.sinapipro.api.shared.error,ApiExceptionHandler.Violation,9,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.weather.domain,WeatherDelay,55,0,0,0,15,0,11,0,11,0
